system,question_idx,rank,question,question_type,prediction,gold_answer,llm_score,f1_score,combined_score,retrieved_docs,correct_doc,failure_type
None_gpt4omini,8,1,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,"The publisher associated with ""Sport and Apartheid South Africa"" is the University of Cape Town Press.",Routledge,1,0.0,0.1,N/A,colonialism_sport_book_summary.txt,No Retrieval
None_gpt4omini,19,2,Which WNBA player from Nigeria has won the WNBA MVP award?,factoid,The WNBA player from Nigeria who has won the WNBA MVP award is Elizabeth Williams. She won the award in 2016 while playing for the Los Angeles Sparks.,Nneka Ogwumike,1,0.0,0.1,N/A,top_african_female_players_summary.txt,No Retrieval
None_gpt4omini,24,3,In what year was South Africa's Basketball National League established?,factoid,South Africa's Basketball National League was established in 1993.,2013,1,0.0,0.1,N/A,basketball_national_league_summary.txt,No Retrieval
None_gpt4omini,29,4,Which NCAA Division I school did Jana El Alfy enroll at?,factoid,Jana El Alfy enrolled at the University of Kentucky.,UConn,1,0.0,0.1,N/A,nba_academy_bal_us_college_summary.txt,No Retrieval
None_gpt4omini,30,5,How many sub-zones does FIBA Africa organize its national federations into?,factoid,FIBA Africa organizes its national federations into five sub-zones.,7,1,0.0,0.1,N/A,fiba_africa_sub_zones_summary.txt,No Retrieval
None_gpt4omini,39,6,How many basketball courts does NBA Africa aim to construct across Africa within the next decade?,factoid,NBA Africa aims to construct 100 basketball courts across Africa within the next decade.,"1,000",1,0.0,0.1,N/A,nba_africa_opportunity_international_summary.txt,No Retrieval
None_gpt4omini,45,7,"On what date was the first new basketball court unveiled at Highland School in Nyamata, Rwanda?",factoid,"The first new basketball court at Highland School in Nyamata, Rwanda, was unveiled on November 1, 2022.","May 19, 2025",1,0.0,0.1,N/A,nba_africa_opportunity_courts_summary.txt,No Retrieval
None_gpt4omini,51,8,Which Egyptian player participated in the NBA Summer League from BAL?,factoid,The Egyptian player who participated in the NBA Summer League from the Basketball Africa League (BAL) is Omar Abdal-Fattah. He played for the Zamalek SC team in the BAL before joining the Summer Leagu...,Anas Mahmoud,1,0.0,0.1,N/A,bal_linking_african_teams_nba_summary.txt,No Retrieval
None_gpt4omini,52,9,On what dates was BAL's first scouting combine held?,factoid,"The Basketball Africa League (BAL) held its first scouting combine from October 6 to October 10, 2021.","December 4-5, 2019",1,0.0,0.1,N/A,bal_first_scouting_combine_summary.txt,No Retrieval
None_gpt4omini,53,10,In what year was WINGSPAN Scouting founded?,factoid,WINGSPAN Scouting was founded in 2015.,2023,1,0.0,0.1,N/A,africabasket_wingspan_partnership_summary.txt,No Retrieval
None_gpt4omini,77,11,List three teams that compete in South Africa's Basketball National League.,list,"Three teams that compete in South Africa's Basketball National League are:

1. Cape Town Tigers
2. Durban Heat
3. Johannesburg Warriors",Soweto Panthers,1,0.0,0.1,N/A,basketball_national_league_summary.txt,No Retrieval
None_gpt4omini,81,12,List three countries that confirmed participation in the postponed tournament.,list,"As of October 2023, three countries that confirmed their participation in the postponed tournament are Nigeria, Senegal, and Tunisia.",Uganda,1,0.0,0.1,N/A,afro_varsity_3x3_challenge_summary.txt,No Retrieval
None_gpt4omini,83,13,List four countries included in FIBA Africa Zone 4.,list,"FIBA Africa Zone 4 includes the following countries:

1. Angola
2. Botswana
3. Namibia
4. South Africa",Cameroon,1,0.0,0.1,N/A,fiba_africa_sub_zones_summary.txt,No Retrieval
None_gpt4omini,105,14,List three former NBA players who attended the BAL scouting combine as prospects.,list,"Three former NBA players who attended the Basketball Africa League (BAL) scouting combine as prospects are:

1. **Jamal Murray** - Although primarily known for his NBA career, he has connections to Af...",Jordan Adams,1,0.0,0.1,N/A,bal_first_scouting_combine_summary.txt,No Retrieval
