system,question_idx,question,question_type,prediction,gold_answer,llm_score,exact_match,f1_score,combined_score,retrieved_docs,correct_doc,failure_type,is_error
None_gpt4omini,1,Who is the current commissioner of the Basketball Africa League?,factoid,"As of October 2023, the current commissioner of the Basketball Africa League (BAL) is Amadou Gallo Fall.",Amadou Gallo Fall,5,0,0.3333333333333333,0.6666666666666666,N/A,basketball_africa_league.txt,No Retrieval,True
None_gpt4omini,2,In what year was FIBA Africa established?,factoid,FIBA Africa was established in 1961.,1961,5,0,0.2857142857142857,0.6428571428571428,N/A,fiba_africa_history.txt,No Retrieval,True
None_gpt4omini,3,How did colonial powers use sport in colonized regions according to the article?,factoid,"Colonial powers used sport in colonized regions as a tool for cultural assimilation and social control. They promoted sports like cricket and football to instill values associated with colonial ideals, such as discipline, teamwork, and loyalty. Sports were also used to create a sense of community among colonizers and to distract the local population from political issues. Additionally, colonial authorities often organized competitions that reinforced racial hierarchies and showcased the superiority of the colonizers over the colonized. Overall, sport served as a means to reinforce colonial dominance and facilitate the spread of Western culture.","As tools of governance, identity formation, and social control",4,0,0.1025641025641025,0.4512820512820513,N/A,colonial_history_sport.txt,No Retrieval,True
None_gpt4omini,4,What role does the Basketball Africa League (BAL) play in promoting women's basketball in Africa?,factoid,"The Basketball Africa League (BAL) primarily focuses on men's basketball, but it plays a significant role in promoting women's basketball in Africa through various initiatives. The league has expressed commitment to developing the women's game by:

1. **Creating Opportunities**: The BAL has been involved in discussions about establishing a women's league to provide a platform for female players in Africa.

2. **Showcasing Talent**: The league's visibility helps highlight the talent of African players, including women, which can inspire and attract attention to women's basketball.

3. **Partnerships and Collaborations**: The BAL collaborates with organizations that promote women's sports, helping to foster growth and investment in women's basketball.

4. **Community Engagement**: The league engages in community programs that encourage young girls to participate in basketball, promoting inclusivity and growth of the sport among women.

Overall, while the BAL is primarily a men's league, its initiatives and potential future expansions can significantly contribute to the development and visibility of women's basketball in Africa.",Promotes gender inclusion through partnerships and initiatives,4,0,0.0545454545454545,0.42727272727272725,N/A,womens_basketball_africa.txt,No Retrieval,True
None_gpt4omini,5,How many countries will now represent African basketball in global competitions according to the article?,factoid,"I don't have access to specific articles or their content, but as of my last update, the number of countries representing African basketball in global competitions can vary based on the tournament and the governing body. For instance, FIBA Africa typically has several teams qualify for events like the FIBA Basketball World Cup and the Olympics. If you have a specific article in mind, please provide more details or context, and I can help clarify based on general knowledge.",Two,2,0,0.0,0.2,N/A,africabasket_two_countries.txt,No Retrieval,True
None_gpt4omini,6,How often is AfroBasket held?,factoid,AfroBasket is held every two years.,Every four years,2,0,0.4444444444444444,0.4222222222222222,N/A,afrobasket_summary.txt,No Retrieval,True
None_gpt4omini,7,What role do international partnerships play in the rise of African basketball?,factoid,"International partnerships play a crucial role in the rise of African basketball by providing resources, expertise, and exposure. These collaborations often involve:

1. **Coaching and Training**: Partnerships with established basketball organizations and coaches from countries with strong basketball traditions help improve coaching standards and player development.

2. **Infrastructure Development**: International collaborations can lead to the construction and renovation of basketball facilities, making the sport more accessible.

3. **Talent Exposure**: Partnerships with leagues and teams abroad offer African players opportunities to showcase their talent, leading to potential recruitment into international leagues.

4. **Sponsorship and Funding**: International brands and organizations often invest in African basketball, providing financial support for leagues, teams, and grassroots programs.

5. **Competitions and Events**: Collaborations can facilitate the organization of international tournaments, enhancing competition levels and visibility for African teams.

Overall, these partnerships contribute to the professionalization and growth of basketball across the continent.","They provide infrastructure, investment, and global visibility",5,0,0.0377358490566037,0.5188679245283019,N/A,rise_of_african_basketball.txt,No Retrieval,True
None_gpt4omini,8,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,"The publisher associated with ""Sport and Apartheid South Africa"" is the University of Cape Town Press.",Routledge,1,0,0.0,0.1,N/A,colonialism_sport_book_summary.txt,No Retrieval,True
None_gpt4omini,9,When did basketball's presence in Africa begin?,factoid,"Basketball's presence in Africa began in the early 20th century, with the sport being introduced by American missionaries and educators. The first organized basketball games in Africa are believed to have taken place in the 1930s. The sport gained popularity in various countries throughout the continent, particularly in the 1960s and 1970s, as African nations gained independence and developed their own sports programs.",Mid-20th century,3,0,0.0,0.3,N/A,rise_and_rise_african_basketball.txt,No Retrieval,True
None_gpt4omini,10,In what year was the first Basketball Without Borders (BWB) program launched globally?,factoid,The first Basketball Without Borders (BWB) program was launched globally in 2001.,2001,5,0,0.1538461538461538,0.5769230769230769,N/A,bwb_east_africa_summary.txt,No Retrieval,True
