Who is the current commissioner of the Basketball Africa League?	factoid
In what year was FIBA Africa established?	factoid
How did colonial powers use sport in colonized regions according to the article?	factoid
What role does the Basketball Africa League (BAL) play in promoting women's basketball in Africa?	factoid
How many countries will now represent African basketball in global competitions according to the article?	factoid
How often is AfroBasket held?	factoid
What role do international partnerships play in the rise of African basketball?	factoid
What publisher is associated with "Sport and Apartheid South Africa"?	factoid
When did basketball's presence in Africa begin?	factoid
In what year was the first Basketball Without Borders (BWB) program launched globally?	factoid
In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?	factoid
At what age was Joel Embiid introduced to basketball?	factoid
How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?	factoid
In what year did Pascal Siakam win the NBA Championship?	factoid
What role has Luol Deng played in South Sudan basketball development?	factoid
Which country is Gab Gre Lasme originally from?	factoid
How many times has Giannis Antetokounmpo won the NBA MVP award?	factoid
In what year did Serge Ibaka win the NBA Championship?	factoid
Which WNBA player from Nigeria has won the WNBA MVP award?	factoid
What age groups do FIBA Africa's youth championships target?	factoid
What is the primary purpose of the proposed African development league?	factoid
Which organization oversees the Nigerian Premier League?	factoid
Which organization organizes the Women's Basketball League Africa?	factoid
In what year was South Africa's Basketball National League established?	factoid
Which FIBA Africa zone does the Youzou Elite Basketball League operate in?	factoid
Where were the 2025 BAL Playoffs and Finals held?	factoid
How many youth competition categories does FIBA Africa organize?	factoid
Why was the 5th Afro Varsity 3x3 Basketball Challenge postponed?	factoid
Which NCAA Division I school did Jana El Alfy enroll at?	factoid
How many sub-zones does FIBA Africa organize its national federations into?	factoid
In what year did 3x3 basketball become an official discipline of the African Games?	factoid
In what year did Giants of Africa begin hosting basketball camps?	factoid
How many countries and territories can access BAL broadcasts?	factoid
Which organization established Club Rafiki in Kigali in 2022?	factoid
When is the Giants of Africa Festival scheduled to take place in Kigali in 2025?	factoid
How many national titles has Petro de Luanda won?	factoid
What percentage of LGBT individuals witnessed homophobia in sport according to studies mentioned?	factoid
What standard should websites comply with for digital inclusion of people with disabilities?	factoid
How many basketball courts does NBA Africa aim to construct across Africa within the next decade?	factoid
Which former US President joined BAL as a strategic partner and investor?	factoid
In which years will BAL continue to stage Playoffs and Finals in Kigali according to the multi-year extension?	factoid
What is the seating capacity of Kigali Arena?	factoid
In what year was basketball introduced to Rwanda by missionaries?	factoid
What percentage of young players cite fun as their main reason for playing basketball?	factoid
On what date was the first new basketball court unveiled at Highland School in Nyamata, Rwanda?	factoid
What is the duration of ESPN Africa's broadcast agreement with FIBA?	factoid
By what percentage did NBA Africa's social media followers grow year-over-year?	factoid
Which organization partnered with BAL to advance education and inclusion in Africa?	factoid
What was BAL's estimated valuation in 2021?	factoid
On what date were BAL's gender equality initiatives announced?	factoid
Which Egyptian player participated in the NBA Summer League from BAL?	factoid
On what dates was BAL's first scouting combine held?	factoid
In what year was WINGSPAN Scouting founded?	factoid
List three teams that have won the BAL championship since its inaugural season in 2021.	list
Name three African national teams that have been dominant in AfroBasket history.	list
Name two sports introduced by European colonial authorities.	list
List two barriers that historically restricted women's participation in basketball in Africa.	list
Name two emerging basketball nations mentioned as pushing for greater representation.	list
List two global competitions that AfroBasket serves as a qualifier for.	list
Name two prominent African NBA players mentioned who inspire future generations.	list
List three key themes mentioned in the key points section of the book "Sport and Apartheid South Africa" ..	list
List three social impacts of basketball in Africa.	list
List two objectives of the Basketball Without Borders camp in East Africa.	list
List three individual NBA awards or honors Hakeem Olajuwon won during his career.	list
List two achievements Joel Embiid has earned in the NBA.	list
List three areas of focus for Dikembe Mutombo's humanitarian work.	list
List two NBA honors Pascal Siakam has received.	list
List two ways basketball impacts South Sudan society.	list
List two impacts of Gab Gre Lasme's success on African basketball.	list
List three major NBA achievements Giannis Antetokounmpo has earned.	list
List two areas where Serge Ibaka has focused his philanthropic efforts.	list
List three African countries mentioned as having female basketball players making global waves.	list
List two objectives of FIBA Africa's youth development programs.	list
List two objectives of the proposed African development league.	list
List three teams that compete in the Nigerian Premier League.	list
List three social impacts of the Women's Basketball League Africa.	list
List three teams that compete in South Africa's Basketball National League.	list
List two types of tournaments featured in the Youzou Elite Basketball League.	list
List three existing partners of the Basketball Africa League mentioned.	list
List two age groups featured in FIBA Africa youth competitions.	list
List three countries that confirmed participation in the postponed tournament.	list
List three African players mentioned who joined US college basketball programs.	list
List four countries included in FIBA Africa Zone 4.	list
List three countries that won medals in the women's 3x3 basketball tournament at the 2023 African Games.	list
List two types of activities offered at Giants of Africa camps.	list
List two major initiatives mentioned in the BAL global investment article.	list
List two challenges mentioned regarding basketball infrastructure in Africa.	list
List three activities featured at the Giants of Africa 2025 Festival.	list
List three top African basketball clubs mentioned in the article.	list
List three types of limitations sport faces in addressing SDGs.	list
List three types of accessibility barriers in sports for people with disabilities.	list
List two key initiatives of the NBA Africa and Opportunity International partnership.	list
List three key investment areas for private investment in BAL.	list
List three BAL Foundational Partners mentioned in the agreement.	list
List three modern basketball arenas in Africa mentioned in the article.	list
List three challenges facing basketball development in Africa.	list
List three social skills developed through youth basketball.	list
List two activities conducted during the court unveiling events.	list
List three types of FIBA tournaments covered in the ESPN Africa broadcast deal.	list
List three contributing factors to basketball's growing influence in Africa.	list
List three impact areas of the BAL and AFD partnership.	list
List three revenue streams for the Basketball Africa League.	list
List three key actions in BAL's gender equality initiatives.	list
List two social impact initiatives mentioned for the Basketball Africa League.	list
List three former NBA players who attended the BAL scouting combine as prospects.	list
List two objectives of the AfricaBasket and WINGSPAN partnership.	list
Which organization co-organizes the Basketball Africa League (BAL) alongside FIBA? A) UEFA B) NBA Africa C) IOC D) FIFA	multiple choice
