system,question_idx,question,correct_doc,retrieved_docs,correct_doc_retrieved,llm_score,exact_match,f1_score
Azure_gpt4omini,1,Who is the current commissioner of the Basketball Africa League?,basketball_africa_league.txt,"basketball_africa_league.txt, bal_linking_african_teams_nba_summary.txt, bal_africa_sports_economy_summary.txt",True,5,0,0.4285714285714285
Azure_gpt4omini,2,In what year was FIBA Africa established?,fiba_africa_history.txt,"fiba_africa_history.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",True,5,0,0.2857142857142857
Azure_gpt4omini,3,How did colonial powers use sport in colonized regions according to the article?,colonial_history_sport.txt,"colonial_history_sport.txt, colonialism_sport_book_summary.txt, sports_limitations_addressing_sdgs_summary.txt",True,5,0,0.3478260869565217
Azure_gpt4omini,4,What role does the Basketball Africa League (BAL) play in promoting women's basketball in Africa?,womens_basketball_africa.txt,"bal_linking_african_teams_nba_summary.txt, bal_gender_equality_initiatives_summary.txt, basketball_africa_league.txt",False,5,0,0.144927536231884
Azure_gpt4omini,5,How many countries will now represent African basketball in global competitions according to the article?,africabasket_two_countries.txt,"africabasket_two_countries.txt, espn_africa_fiba_broadcast_deal_summary.txt, afrobasket_summary.txt",True,5,0,0.1818181818181818
Azure_gpt4omini,6,How often is AfroBasket held?,afrobasket_summary.txt,"afrobasket_summary.txt, fiba_africa_youth_competitions_summary.txt, afro_varsity_3x3_challenge_summary.txt",True,5,0,0.6666666666666666
Azure_gpt4omini,7,What role do international partnerships play in the rise of African basketball?,rise_of_african_basketball.txt,"rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt, nba_africa_opportunity_international_summary.txt",True,5,0,0.1016949152542372
Azure_gpt4omini,8,"What publisher is associated with ""Sport and Apartheid South Africa""?",colonialism_sport_book_summary.txt,"colonialism_sport_book_summary.txt, basketball_national_league_summary.txt, colonial_history_sport.txt",True,1,0,0.0
Azure_gpt4omini,9,When did basketball's presence in Africa begin?,rise_and_rise_african_basketball.txt,"rise_of_african_basketball.txt, basketball_influence_africa_summary.txt, rise_and_rise_african_basketball.txt",True,5,0,0.4
Azure_gpt4omini,10,In what year was the first Basketball Without Borders (BWB) program launched globally?,bwb_east_africa_summary.txt,"bwb_east_africa_summary.txt, basketball_africa_societal_impact_summary.txt, bal_linking_african_teams_nba_summary.txt",True,5,0,0.1538461538461538
Azure_gpt4omini,11,In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?,hakeem_olajuwon_summary.txt,"hakeem_olajuwon_summary.txt, joel_embiid_summary.txt, fiba_africa_history.txt",True,5,0,0.1666666666666666
Azure_gpt4omini,12,At what age was Joel Embiid introduced to basketball?,joel_embiid_summary.txt,"joel_embiid_summary.txt, hakeem_olajuwon_summary.txt, rise_and_rise_african_basketball.txt",True,5,0,0.1999999999999999
Azure_gpt4omini,13,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,dikembe_mutombo_summary.txt,"dikembe_mutombo_summary.txt, joel_embiid_summary.txt, serge_ibaka_summary.txt",True,5,0,0.0
Azure_gpt4omini,14,In what year did Pascal Siakam win the NBA Championship?,pascal_siakam_summary.txt,"pascal_siakam_summary.txt, serge_ibaka_summary.txt, hakeem_olajuwon_summary.txt",True,5,0,0.2222222222222222
Azure_gpt4omini,15,What role has Luol Deng played in South Sudan basketball development?,luol_deng_south_sudan_summary.txt,"luol_deng_south_sudan_summary.txt, rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt",True,5,0,0.3076923076923077
Azure_gpt4omini,16,Which country is Gab Gre Lasme originally from?,gab_gre_lasme_summary.txt,"gab_gre_lasme_summary.txt, youzou_elite_basketball_summary.txt, fiba_africa_sub_zones_summary.txt",True,5,0,0.25
Azure_gpt4omini,17,How many times has Giannis Antetokounmpo won the NBA MVP award?,giannis_antetokounmpo_summary.txt,"giannis_antetokounmpo_summary.txt, joel_embiid_summary.txt, hakeem_olajuwon_summary.txt",True,5,0,0.0
Azure_gpt4omini,18,In what year did Serge Ibaka win the NBA Championship?,serge_ibaka_summary.txt,"serge_ibaka_summary.txt, pascal_siakam_summary.txt, hakeem_olajuwon_summary.txt",True,5,0,0.2222222222222222
Azure_gpt4omini,19,Which WNBA player from Nigeria has won the WNBA MVP award?,top_african_female_players_summary.txt,"top_african_female_players_summary.txt, nigerian_premier_league_summary.txt, joel_embiid_summary.txt",True,5,0,0.3333333333333333
Azure_gpt4omini,20,What age groups do FIBA Africa's youth championships target?,fiba_africa_youth_development.txt,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",True,5,0,0.3333333333333333
Azure_gpt4omini,21,What is the primary purpose of the proposed African development league?,nba_fiba_african_dev_league.txt,"nba_fiba_african_dev_league.txt, bal_linking_african_teams_nba_summary.txt, bal_africa_sports_economy_summary.txt",True,4,0,0.4848484848484848
Azure_gpt4omini,22,Which organization oversees the Nigerian Premier League?,nigerian_premier_league_summary.txt,"nigerian_premier_league_summary.txt, basketball_national_league_summary.txt, womens_basketball_league_africa.txt",True,5,0,0.5714285714285715
Azure_gpt4omini,23,Which organization organizes the Women's Basketball League Africa?,womens_basketball_league_africa.txt,"womens_basketball_league_africa.txt, bal_gender_equality_initiatives_summary.txt, bal_linking_african_teams_nba_summary.txt",True,5,0,0.3333333333333333
Azure_gpt4omini,24,In what year was South Africa's Basketball National League established?,basketball_national_league_summary.txt,"basketball_national_league_summary.txt, nigerian_premier_league_summary.txt, basketball_africa_league.txt",True,5,0,0.1666666666666666
Azure_gpt4omini,25,Which FIBA Africa zone does the Youzou Elite Basketball League operate in?,youzou_elite_basketball_summary.txt,"youzou_elite_basketball_summary.txt, fiba_africa_sub_zones_summary.txt, fiba_africa_youth_competitions_summary.txt",True,5,0,0.3076923076923077
Azure_gpt4omini,26,Where were the 2025 BAL Playoffs and Finals held?,bal_partners_playoffs_finals_summary.txt,"bal_partners_playoffs_finals_summary.txt, basketball_africa_league.txt, bal_rdb_multi_year_extension_summary.txt",True,5,0,0.5714285714285715
Azure_gpt4omini,27,How many youth competition categories does FIBA Africa organize?,fiba_africa_youth_competitions_summary.txt,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",True,5,0,0.0
Azure_gpt4omini,28,Why was the 5th Afro Varsity 3x3 Basketball Challenge postponed?,afro_varsity_3x3_challenge_summary.txt,"afro_varsity_3x3_challenge_summary.txt, african_games_3x3_basketball_summary.txt, afrobasket_summary.txt",True,5,0,0.3636363636363636
Azure_gpt4omini,29,Which NCAA Division I school did Jana El Alfy enroll at?,nba_academy_bal_us_college_summary.txt,"nba_academy_bal_us_college_summary.txt, afro_varsity_3x3_challenge_summary.txt, womens_basketball_league_africa.txt",True,5,0,0.2857142857142857
Azure_gpt4omini,30,How many sub-zones does FIBA Africa organize its national federations into?,fiba_africa_sub_zones_summary.txt,"fiba_africa_sub_zones_summary.txt, fiba_africa_youth_competitions_summary.txt, fiba_africa_history.txt",True,5,0,0.0
Azure_gpt4omini,31,In what year did 3x3 basketball become an official discipline of the African Games?,african_games_3x3_basketball_summary.txt,"african_games_3x3_basketball_summary.txt, afro_varsity_3x3_challenge_summary.txt, afrobasket_summary.txt",True,5,0,0.1538461538461538
Azure_gpt4omini,32,In what year did Giants of Africa begin hosting basketball camps?,giants_of_africa_camps_summary.txt,"giants_of_africa_camps_summary.txt, giants_of_africa_2025_kigali_summary.txt, bwb_east_africa_summary.txt",True,5,0,0.1999999999999999
Azure_gpt4omini,33,How many countries and territories can access BAL broadcasts?,bal_global_investment_summary.txt,"basketball_africa_league.txt, bal_partners_playoffs_finals_summary.txt, bal_africa_sports_economy_summary.txt",False,5,0,0.1999999999999999
Azure_gpt4omini,34,Which organization established Club Rafiki in Kigali in 2022?,basketball_africa_infrastructure_summary.txt,"bal_rdb_multi_year_extension_summary.txt, giants_of_africa_2025_kigali_summary.txt, nba_africa_opportunity_courts_summary.txt",False,1,0,0.0
Azure_gpt4omini,35,When is the Giants of Africa Festival scheduled to take place in Kigali in 2025?,giants_of_africa_2025_kigali_summary.txt,"giants_of_africa_2025_kigali_summary.txt, giants_of_africa_camps_summary.txt, bal_rdb_multi_year_extension_summary.txt",True,5,0,0.5
Azure_gpt4omini,36,How many national titles has Petro de Luanda won?,top_10_african_basketball_clubs_summary.txt,"top_10_african_basketball_clubs_summary.txt, luol_deng_south_sudan_summary.txt, afrobasket_summary.txt",True,5,0,0.2222222222222222
Azure_gpt4omini,37,What percentage of LGBT individuals witnessed homophobia in sport according to studies mentioned?,sports_limitations_addressing_sdgs_summary.txt,"disability_barriers_in_sports_summary.txt, sports_limitations_addressing_sdgs_summary.txt, colonial_history_sport.txt",True,5,0,0.1428571428571428
