question_idx,question,question_type,avg_llm_score,avg_exact_match,avg_f1_score,llm_std,systems_failed,systems_perfect,is_universally_hard,is_universally_easy
1,Who is the current commissioner of the Basketball Africa League?,factoid,3.2,0.0,0.15238095238095237,1.6431676725154984,3,2,False,False
2,In what year was FIBA Africa established?,factoid,3.4,0.0,0.17142857142857143,2.1908902300206647,2,3,False,False
3,How did colonial powers use sport in colonized regions according to the article?,factoid,4.0,0.0,0.2040876997398736,1.224744871391589,1,2,False,False
4,What role does the Basketball Africa League (BAL) play in promoting women's basketball in Africa?,factoid,4.0,0.0,0.10888570557022041,1.224744871391589,1,2,False,False
5,How many countries will now represent African basketball in global competitions according to the article?,factoid,4.4,0.4,0.47272727272727266,1.3416407864998738,1,4,False,True
6,How often is AfroBasket held?,factoid,4.4,0.4,0.7555555555555555,1.3416407864998738,1,4,False,True
7,What role do international partnerships play in the rise of African basketball?,factoid,3.4,0.0,0.04693377190978722,2.1908902300206647,2,3,False,False
8,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,1.0,0.0,0.0,0.0,5,0,True,False
9,When did basketball's presence in Africa begin?,factoid,4.6,0.4,0.5466666666666666,0.8944271909999157,0,4,False,True
10,In what year was the first Basketball Without Borders (BWB) program launched globally?,factoid,5.0,0.4,0.49230769230769234,0.0,0,5,False,True
11,In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?,factoid,3.4,0.0,0.09999999999999995,2.1908902300206647,2,3,False,False
12,At what age was Joel Embiid introduced to basketball?,factoid,3.4,0.0,0.11333333333333329,2.1908902300206647,2,3,False,False
13,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,3.4,0.0,0.0,2.1908902300206647,2,3,False,False
14,In what year did Pascal Siakam win the NBA Championship?,factoid,3.4,0.0,0.1222222222222222,2.1908902300206647,2,3,False,False
15,What role has Luol Deng played in South Sudan basketball development?,factoid,3.8,0.0,0.14552249763077457,1.7888543819998317,1,3,False,False
16,Which country is Gab Gre Lasme originally from?,factoid,3.4,0.0,0.15,2.1908902300206647,2,3,False,False
