question_idx,question,question_type,avg_llm_score,avg_exact_match,avg_f1_score,systems_perfect,question_short
10,In what year was the first Basketball Without Borders (BWB) program launched globally?,factoid,5.0,0.4,0.49230769230769234,5,In what year was the first Basketball Without Borders (BWB) program launched globally?
58,Name two emerging basketball nations mentioned as pushing for greater representation.,list,5.0,0.0,0.3822222222222222,5,Name two emerging basketball nations mentioned as pushing for greater representation.
59,List two global competitions that AfroBasket serves as a qualifier for.,list,5.0,0.0,0.46820728291316527,5,List two global competitions that AfroBasket serves as a qualifier for.
97,List three social skills developed through youth basketball.,list,5.0,0.0,0.23666666666666666,5,List three social skills developed through youth basketball.
109,Which colonial region used cricket as a tool for elite formation? A) French West Africa B) British India C) Caribbean D) East Africa,multiple choice,5.0,0.6,0.9199999999999999,5,Which colonial region used cricket as a tool for elite formation? A) French West Africa B) British India C) Caribbean D) East Africa
111,What is the primary purpose of allowing two African countries to participate in global events? A) Increase revenue B) Promote inclusivity and showcase broader talent C) Reduce competition D) Follow European models,multiple choice,5.0,0.6,0.6,5,What is the primary purpose of allowing two African countries to participate in global events? A) Increase revenue B) Promote inclusivity and showcase...
128,What is the competition level of the Nigerian Premier League? A) Second-tier B) Third-tier C) Top-tier D) Regional,multiple choice,5.0,0.6,0.6,5,What is the competition level of the Nigerian Premier League? A) Second-tier B) Third-tier C) Top-tier D) Regional
130,Which organization oversees the Basketball National League in South Africa? A) FIBA B) NBA Africa C) Basketball South Africa (BSA) D) NBBF,multiple choice,5.0,0.4,0.6833333333333333,5,Which organization oversees the Basketball National League in South Africa? A) FIBA B) NBA Africa C) Basketball South Africa (BSA) D) NBBF
143,Which of the following is a resource limitation for sport in development? A) Too many coaches B) Lack of affordable sports equipment C) Excessive funding D) Over-built infrastructure,multiple choice,5.0,0.6,0.6,5,Which of the following is a resource limitation for sport in development? A) Too many coaches B) Lack of affordable sports equipment C) Excessive fund...
144,Which barrier involves negative stereotypes about athletes with disabilities? A) Physical accessibility B) Logistical accessibility C) Psychological accessibility D) Equipment limitations,multiple choice,5.0,0.6,0.6,5,Which barrier involves negative stereotypes about athletes with disabilities? A) Physical accessibility B) Logistical accessibility C) Psychological a...
152,"How many international basketball games will ESPN Africa broadcast under the FIBA deal? A) 500 B) 1,000 C) 1,500 D) 2,000",multiple choice,5.0,0.4,0.4444444444444445,5,"How many international basketball games will ESPN Africa broadcast under the FIBA deal? A) 500 B) 1,000 C) 1,500 D) 2,000"
154,What is the name of the pan-African platform launched by AFD to support sports projects? A) Sport Together B) Sport en commun C) Sports for Africa D) African Sports Initiative,multiple choice,5.0,0.6,0.9428571428571428,5,What is the name of the pan-African platform launched by AFD to support sports projects? A) Sport Together B) Sport en commun C) Sports for Africa D) ...
38,What standard should websites comply with for digital inclusion of people with disabilities?,factoid,4.8,0.4,0.5145098039215685,4,What standard should websites comply with for digital inclusion of people with disabilities?
43,In what year was basketball introduced to Rwanda by missionaries?,factoid,4.8,0.4,0.47272727272727266,4,In what year was basketball introduced to Rwanda by missionaries?
90,List three types of limitations sport faces in addressing SDGs.,list,4.8,0.4,0.47261044176706823,4,List three types of limitations sport faces in addressing SDGs.
9,When did basketball's presence in Africa begin?,factoid,4.6,0.4,0.5466666666666666,4,When did basketball's presence in Africa begin?
56,Name two sports introduced by European colonial authorities.,list,4.6,0.0,0.3866666666666666,3,Name two sports introduced by European colonial authorities.
75,List three teams that compete in the Nigerian Premier League.,list,4.6,0.0,0.32230576441102754,4,List three teams that compete in the Nigerian Premier League.
107,Which organization co-organizes the Basketball Africa League (BAL) alongside FIBA? A) UEFA B) NBA Africa C) IOC D) FIFA,multiple choice,4.6,0.6,0.6598830409356724,4,Which organization co-organizes the Basketball Africa League (BAL) alongside FIBA? A) UEFA B) NBA Africa C) IOC D) FIFA
114,"What is the primary focus of the book ""Sport and Apartheid South Africa""? A) Modern sports economics B) Colonial history, sport, and cultural identity C) African independence movements D) Olympic history",multiple choice,4.6,0.4,0.6166666666666667,3,"What is the primary focus of the book ""Sport and Apartheid South Africa""? A) Modern sports economics B) Colonial history, sport, and cultural identity..."
